State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,sex_ration
Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,525920,469826,627889,348549,279340,158414,9388,3277,818921,178,436,365,183396,7897,893.3411925768178
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,475622,426274,524848,300401,224447,254920,4333,1681,638625,240,744,433,166585,4571,896.2453376841273
Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,1002522,893164,1266791,711052,555739,783306,40043,5683,1059944,245,1914,1410,352929,24274,890.9171070560049
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,357485,327142,502731,278534,224197,304481,14492,2094,361045,118,653,143,129123,6600,915.1209141642307
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,878029,777140,1002077,570413,431664,389410,179116,2406,1077438,268,3222,1038,305557,10736,885.0960503582455
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,1324085,1258967,1526673,926268,600405,2201663,314159,10605,6799,417,45614,184,393498,13499,950.8203778458331
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,1939026,1735153,2182476,1359829,822647,3039279,547335,2696,64532,4384,13221,348,485723,9750,894.8580369732019
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,907754,889731,829343,513854,315489,1701234,48834,22250,427,138,22613,109,120603,2324,980.1455019752048
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,633945,588810,693307,432607,260700,1133349,79984,1432,3066,84,2795,48,161310,1363,928.8029718666446
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,1369022,1234729,1188322,783461,404861,2244882,321192,1157,450,157,34010,34,126494,2766,901.905886099712
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,1355726,1192736,1480869,943910,536959,2143046,371286,1576,23456,899,5758,18,288723,4179,879.7765920252323
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,1220736,1187787,1256126,777582,478544,2224839,142427,1978,1468,183,35149,60,373644,6207,973.0089061025479
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,1240801,1123136,1278801,782399,496402,2073356,235741,1901,20072,285,30850,79,220793,7607,905.170128006022
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,577160,533746,585044,371705,213339,1017688,66609,682,11059,144,13455,24,136969,1392,924.7799570309793
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,783171,761167,821825,514851,306974,1413163,97855,1274,1515,252,25843,136,268172,4941,971.903964779084
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,1051446,988101,1149269,696729,452540,1777879,249736,958,402,188,7104,127,231696,2577,939.7543953755114
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,857787,776622,938051,596935,341116,1582335,45488,439,296,94,3737,115,195277,1719,905.378607976106
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,653647,552869,683098,435721,247377,1127520,72258,688,1356,92,2739,21,96086,1330,845.821980365549
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,696532,692020,681591,415820,265771,1340065,28662,830,240,226,16141,853,141275,1477,993.5221928066478
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,1043340,925828,1193343,710908,482435,1437144,50688,2077,474853,938,1988,164,283142,6295,887.3694097801292
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,931184,843508,1034136,624281,409855,1433067,118673,1542,216997,241,1935,138,243163,3360,905.8446021409302
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,3468507,3157671,4300965,2554793,1746172,5819980,687452,12708,18782,1020,81079,257,990085,76565,910.3833436115308
